Release 7.1i - par H.38
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Tue Apr  5 08:56:35 2005

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       math.map.ncd
#OUTPUT FILE:      math.par_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,,
A3,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,,
A4,c<12>,IOB,IO_L01P_0/VRN_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
A5,d<3>,IOB,IO,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
A6,,,VCCAUX,,,,,,,,2.5,,,,,
A7,,IOB,IO,UNUSED,,0,,,,,,,,,,
A8,,DIFFM,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,,,,
A9,,IOB,IO,UNUSED,,1,,,,,,,,,,
A10,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A11,,,VCCAUX,,,,,,,,2.5,,,,,
A12,,IOB,IO,UNUSED,,1,,,,,,,,,,
A13,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A14,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,,
A15,,,TDO,,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,,
B1,c<10>,IOB,IO_L01P_7/VRN_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
B2,,,GND,,,,,,,,,,,,,
B3,,,PROG_B,,,,,,,,,,,,,
B4,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,,
B5,c<5>,IOB,IO_L25P_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
B6,c<2>,IOB,IO_L28P_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
B7,c<8>,IOB,IO_L30P_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
B8,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,,
B9,,,GND,,,,,,,,,,,,,
B10,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,,
B11,,DIFFS,IO_L29N_1,UNUSED,,1,,,,,,,,,,
B12,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,,
B13,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,,
B14,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,,
B16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,,
C1,c<9>,IOB,IO_L01N_7/VRP_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
C2,d<2>,IOB,IO_L16N_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
C3,c<3>,IOB,IO_L16P_7/VREF_7,INPUT,LVCMOS25,7,,,,NONE,,,,NO,NONE,
C4,,,HSWAP_EN,,,,,,,,,,,,,
C5,d<6>,IOB,IO_L25N_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
C6,d<1>,IOB,IO_L28N_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
C7,d<5>,IOB,IO_L30N_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
C8,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,,
C9,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,,
C11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,,
